id,location_type,species,common_name,space_type,address,street,side,dbh,stems,height,space_length,space_width,overhead_utilities,hardscape,cultivar,date,notes,longitude,latitude,x,y
0,Street,Acer platanoides, ,Well/Pit,620,S HANOVER ST,Front,13,1,37, , ,None,None, ,"6/21/2020, 8:00 PM", ,-76.61590656,39.28141637,1421058.505011335,588309.3616905957
223859,Street,Liriodendron tulipifera,tuliptree,Open/Unrestricted,3500,FALLSTAFF ROAD,Side,44.1,1,97,>20,>20,None,None, ,"4/17/2017, 8:00 PM", ,-76.70212904,39.36593878,1396551.1888685971,619004.1759570092
223860,Street,Acer rubrum,"maple, red",Tree Lawn,7038,WALLIS AVE,Front,19.1,1,45,16,3,Both,None, ,"4/17/2017, 8:00 PM", ,-76.70473078,39.36808151,1395813.0712503344,619782.2521567494
223861,Street,Quercus alba,"oak, white",Open/Unrestricted,7005,WALLIS AVE,Front,29.5,1,50,>20,>20,Both,None, ,"4/17/2017, 8:00 PM", ,-76.70315722,39.36692997,1396259.3164208382,619364.2605386674
223862,Street,Acer platanoides,"maple, Norway",Open/Unrestricted,3505,SEVEN MILE LANE,Side,19.5,1,40,>20,>20,None,None, ,"4/17/2017, 8:00 PM", ,-76.70527616,39.36869252,1395658.1607990116,620004.308471173
223863,Street,Acer rubrum,"maple, red",Tree Lawn,3208,LABYRINTH ROAD,Side,15.5,1,40,>20,4,None,None, ,"4/18/2017, 8:00 PM", ,-76.70022584,39.3707731,1397083.5011241734,620766.7869330943
223869,Street,Acer rubrum,"maple, red",Tree Lawn,3208,LABYRINTH ROAD,Front,16.8,1,50,>20,5,None,None, ,"4/19/2017, 8:00 PM",DBH at 3,-76.70014075,39.37087009,1397107.442349255,620802.1933583319
223871,Street,Platanus occidentalis,"sycamore, American",Open/Unrestricted,3229,SHELBURNE ROAD,Side,27.6,1,70,>20,>20,None,None, ,"4/19/2017, 8:00 PM", ,-76.70282605,39.37141143,1396347.6328452528,620996.8891631663
223872,Street,Tilia tomentosa,"linden, silver",Tree Lawn,3205,NERAK ROAD,Front,10.6,1,28,>20,2,None,None, ,"4/19/2017, 8:00 PM", ,-76.70205567,39.37078168,1396566.1760433465,620768.2186887562
223875,Street,Prunus spp.,"cherry/plum, spp.",Open/Unrestricted,7401,PARK HEIGHTS AVE,Side,11,1,22,>20,>20,None,None, ,"4/19/2017, 8:00 PM", ,-76.70813359,39.37136285,1394847.1971978396,620974.3547594249
223882,Street,Acer rubrum,"maple, red",Tree Lawn,3409,SHELBURNE ROAD,Front,7.8,1,35,>20,5,None,None, ,"4/19/2017, 8:00 PM",poor root system,-76.70629147,39.37152528,1395367.7903167605,621035.1879710853
223883,Street,Acer rubrum,"maple, red",Tree Lawn,3507,SHELBURNE ROAD,Front,19.6,1,50,>20,5,None,None, ,"4/19/2017, 8:00 PM",poor root system,-76.70742164,39.37078169,1395049.1505340934,620763.316795677
223884,Street,Tilia americana,"linden, American",Tree Lawn,3401,SHELBURNE ROAD,Front,10,1,30,>20,4,None,None, ,"4/19/2017, 8:00 PM", ,-76.7052999,39.37168701,1395647.9272236675,621095.0008435845
223897,Street,Tilia americana,"linden, American",Tree Lawn,3101,SHELBURNE ROAD,Side,23.5,1,40,>20,4,None,None, ,"4/18/2017, 8:00 PM", ,-76.69747217,39.37131127,1397861.3486498445,620965.3787275106
223915,Street,Acer saccharinum,"maple, silver",Tree Lawn,3223,SHELBURNE ROAD,Front,32.9,1,50,15,3,None,None, ,"4/19/2017, 8:00 PM",DBH at 2,-76.70222344,39.37159234,1396517.7814550847,621063.3404738456
223918,Street,Prunus spp.,"cherry/plum, spp.",Open/Unrestricted,7401,PARK HEIGHTS AVE,Side,10.3,1,22,>20,>20,None,None, ,"4/19/2017, 8:00 PM", ,-76.70818817,39.37139709,1394831.725115925,620986.7756663412
223928,Street,Acer platanoides,"maple, Norway",Tree Lawn,3407,SHELBURNE ROAD,Front,18.5,1,45,>20,5,Both,None, ,"4/19/2017, 8:00 PM", ,-76.70613746,39.3715815,1395411.2662796676,621055.8070243448
223930,Street,Tilia americana,"linden, American",Tree Lawn,3401,SHELBURNE ROAD,Front,15,1,35,>20,4,Both,None, ,"4/19/2017, 8:00 PM", ,-76.70522052,39.37169106,1395670.3651709259,621096.545788005
223941,Street,Tilia americana,"linden, American",Tree Lawn,3102,SHELBURNE ROAD,Front,19.1,1,50,>20,3,None,None, ,"4/19/2017, 8:00 PM",girdling roots,-76.69779696,39.37175754,1397768.987942174,621127.6241379231
223942,Street,Tilia americana,"linden, American",Tree Lawn,3101,SHELBURNE ROAD,Side,23.7,1,80,>20,4,None,None, ,"4/18/2017, 8:00 PM", ,-76.69747217,39.37145403,1397861.1760780066,621017.3789515942
223943,Street,Cladrastis kentukea,yellowwood,Tree Lawn,3108,SHELBURNE ROAD,Front,1.3,1,8,>20,3,None,None, ,"4/19/2017, 8:00 PM", ,-76.69844876,39.37172961,1397584.753730595,621116.8423353434
223946,Street,Acer rubrum,"maple, red",Tree Lawn,3105,LABYRINTH ROAD,Front,18.5,1,50,>20,4,None,None, ,"4/19/2017, 8:00 PM", ,-76.70004137,39.3719798,1397134.210012257,621206.4874972552
223950,Street,Acer platanoides,"maple, Norway",Tree Lawn,3300,SHELBURNE ROAD,Front,9.6,1,25,>20,4,None,None, ,"4/19/2017, 8:00 PM", ,-76.70300196,39.37166297,1396297.6034177542,621088.348954007
223951,Street,Cercis canadensis,"redbud, eastern",Tree Lawn,3201,SEVEN MILE LANE,Front,1,1,7,>20,3,None,None, ,"4/19/2017, 8:00 PM", ,-76.70505693,39.37173573,1395716.5586480945,621112.967343092
223953,Street,Acer rubrum,"maple, red",Tree Lawn,3313,SHELBURNE ROAD,Front,1,1,6,15,4,None,None, ,"4/19/2017, 8:00 PM",DBH at 2,-76.70415811,39.37156018,1395970.8708035052,621049.8464063406
223955,Street,Acer rubrum,"maple, red",Tree Lawn,3205,LABYRINTH ROAD,Front,15.5,1,35,>20,4,None,None, ,"4/19/2017, 8:00 PM", ,-76.70002603,39.3712583,1397139.4104611725,620943.7012774199
223956,Street,Acer rubrum,"maple, red",Tree Lawn,3204,LABYRINTH ROAD,Front,20.6,1,50,>20,5,None,None, ,"4/19/2017, 8:00 PM", ,-76.70015469,39.37114937,1397103.1661110967,620903.906409502
223957,Street,Pyrus calleryana,"pear, callery",Tree Lawn,3217,SHELBURNE ROAD,Front,9,1,33,>20,3,None,None, ,"4/19/2017, 8:00 PM",DBH at 3,-76.70153431,39.37161136,1396712.5832308382,621070.9037789255
223959,Street,Pyrus calleryana,"pear, callery",Tree Lawn,3225,SHELBURNE ROAD,Front,12.8,1,33,15,3,None,None, ,"4/19/2017, 8:00 PM",DBH at 3.5,-76.70234086,39.37159075,1396484.5892642587,621062.6521550119
